Test : Tempo 1;"15,00000";mm/min
W³aœciwoœci próbki : Etykietka próbki;"13.01_seg9_#1"
W³aœciwoœci próbki : D³ugoœæ;"25,00000";mm
W³aœciwoœci próbki : Szerokoœæ;"6,66000";mm
W³aœciwoœci próbki : Gruboœæ;"2,46000";mm
Odkszta³cenie : Odkszta³cenie 1 d³ugoœæ pomiarowa;"10,00000";mm
Odkszta³cenie : Odkszta³cenie przy rozci¹ganiu (Przemieszczenie) d³ugoœæ pomiarowa;"25,00000";mm

Godzina;Przemieszczenie;Obci¹¿enie;Odkszta³cenie 1
(s);(mm);(N);(mm/mm)
"4,25100";"1,04791";"6176,98438";"0,01324"
"4,31600";"1,06434";"6202,32715";"0,01376"
"4,38600";"1,08175";"6227,69238";"0,01432"
"4,45300";"1,09860";"6252,92188";"0,01487"
"4,52600";"1,11696";"6278,19678";"0,01549"
"4,60600";"1,13687";"6303,25781";"0,01616"
"4,67600";"1,15437";"6328,31104";"0,01673"
"4,76000";"1,17523";"6353,35693";"0,01739"
"4,84100";"1,19556";"6378,54102";"0,01799"
"4,92100";"1,21550";"6403,65674";"0,01855"
"5,00400";"1,23631";"6428,74219";"0,01914"
"5,09200";"1,25825";"6454,00049";"0,01978"
"5,16700";"1,27705";"6479,03564";"0,02036"
"5,26700";"1,30232";"6503,53125";"0,02126"
"5,36700";"1,32701";"6528,31152";"0,02228"
"5,44800";"1,34722";"6553,34766";"0,02320"
"5,52300";"1,36618";"6578,64697";"0,02400"
"5,59900";"1,38501";"6603,68896";"0,02457"
"5,69900";"1,40997";"6620,00244";"0,02500"
"5,78800";"1,43241";"6645,35596";"0,02527"
"5,83300";"1,44359";"6670,71533";"0,02540"
"5,92700";"1,46713";"6645,68408";"0,02558"
"5,97500";"1,47921";"6670,92041";"0,02570"
"6,05000";"1,49794";"6695,99072";"0,02599"
"6,12500";"1,51643";"6721,20703";"0,02667"
"6,20200";"1,53576";"6746,48633";"0,02762"
"6,27800";"1,55492";"6771,65625";"0,02873"
"6,36400";"1,57627";"6796,77148";"0,03013"
"6,46400";"1,60128";"6811,08105";"0,03213"
"6,56400";"1,62638";"6820,54590";"0,03355"
"6,63200";"1,64336";"6845,75195";"0,03372"
"6,70800";"1,66237";"6871,08398";"0,03382"
"6,80800";"1,68737";"6892,13867";"0,03395"
"6,90800";"1,71229";"6913,58105";"0,03406"
"6,94100";"1,72051";"6939,43750";"0,03412"
"6,96800";"1,72719";"6964,56982";"0,03418"
